name,clalit,clalit_treatments,harel,harel_treatments
איסקוב דוד,True,"רחם - כ. נרתיקית בחתך + פלסטיקה
שלפוחית - תיקון אי - נקיטה
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
שחלה - כריתת ציסטה בחתך
נרתיק - פלסטיקה אחורית
צוואר הרחם - קשירה
וסטיבולקטומי - תיקון
לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
שלפוחית - תיקון אי - נקיטה
בלוטת ברטוליני - ניקוז
שחלה - כריתה חד/דו צדדית - בחתך
שחלה - כריתת ציסטה בחתך
נרתיק - פלסטיקה אחורית
צוואר הרחם - קשירה
וסטיבולקטומי - תיקון
לפרוסקופי ניתוחי + היסט' אבחנתית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
",,
אילן גרינולד,,,True,"אורולוגיה,פרוקטולוגיה
"
שמואל פוקס,,,True,"צינתורים,רדיולוגיה פולשנית
"
ירון ריסין,,,True,"כירורגיה פלסטית
כירורגיה פלסטית
"
חיימסקי גרשון,True,"מפרק ברך/ירך - השתלה מלאה
בקע חוזר - הדסה בלבד
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
",,
אריה יגודה,,,True,"גניקולוגיה
"
עטיה משה,True,"אקוסטיק נוירינומה
דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
ראש - אנוריזמה מלפורמציה
אקוסטיק נוירינומה
דלף כולל וונטריקולוסטומי חדר - 3
דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
ראש - אנוריזמה מלפורמציה
גידולי עצם הגולגולת
חורי קידוח
",,
כהן ראובן צבי,True,"יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
גידולי עצם הגולגולת
חורי קידוח
גידולים תוך שידרתיים
גידולים חוץ שידרתיים
דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
גידולים תוך שידרתיים
גידולים חוץ שידרתיים
קרניופלסטיקה
גידולים תוך שידרתיים
גידולים חוץ שידרתיים
גידולים חוץ שידרתיים
דלף כולל וונטריקולוסטומי חדר - 3
יותרת המח - כריתת גידולים
ניתוח ראש - ע""י פתיחת גולגולת
קרניופלסטיקה
גידולים תוך שידרתיים
גידולים חוץ שידרתיים
",,
בן מאיר אסף,True,"רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
",,
תבדי אלי,True,"כליה/שופכן - הוצאת אבנים/אורטרוס
אשכים - תיקון הידרוצלה
ציסטוסקופיה אבחנתית
כליה/שופכן - ריסוק אבנים בלייזר
שופכה - הוצאת סטנט(DJS)
כליה/שופכן - ריסוק אבנים בלייזר
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
כליה/שופכן - ריסוק אבנים בלייזר
",,
פאני שגב,,,True,"עיניים
"
טיין רפאל,True,"ברך ארטרוסקופיה טיפולי/אבחנתי
כתף - אקרומיופלסטי + R.C + ACJ
ברך - שחזור רצועות
קרסול - שחזור רצועות
ברך - תפירת מניסקוס בארתרוסקופי
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
",True,"אורתופדיה
"
ליסי יוסף,True,"קולונוסקופיה
סיגמא - אנדוסקופיה
",,
ולדימיר פלוטקין,,,True,"גניקולוגיה
"
דבי רונן,True,"מפרק ברך/ירך - השתלה מלאה
",True,"אורתופדיה
אורתופדיה
"
מייקל נאש,,,True,"אף אוזן גרון
"
בזיל קאופמן,,,True,"אורתופדיה
אורתופדיה
אורתופדיה
"
בלר עוזיאל,True,"רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
רחם + שחלות + תיקון אי נקיטה - בחתך
שחלה רדיקלית - כריתה בחתך
שלפוחית - תיקון אי - נקיטה
שחלה - כריתה חד/דו צדדית - בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
פות - כריתה רדיקלית
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רצפת אגן קדמי/אחורי - תיקון
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
נרתיק - פלסטיקה קדמית ואחורית
צוואר הרחם - קוניזציה
רחם + שחלות + תיקון אי נקיטה - בחתך
שחלה רדיקלית - כריתה בחתך
רחם - כ. נרתיקית + פלסטיקה + TVT
שלפוחית - תיקון אי - נקיטה
שחלה - כריתה חד/דו צדדית - בחתך
שחלה רדיקלית - כריתה בחתך
רחם - כ. נרתיקית + פלסטיקה + TVT
שלפוחית - תיקון אי - נקיטה
שחלה - כריתה חד/דו צדדית - בחתך
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
רחם היסטרוסקופיה אבחנתית + גרידה
גרידת נסיון / הפלה נדחית
פות - כריתה רדיקלית
רחם - כריתה נרתיקית בחתך
רצפת אגן - תיקון מלא
רחם היסטרוסקופיה גרידה + פוליפ
",,
אפרתי יגאל,True,"פין - תיקון ברית
שופכה - הרחבת פתח
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
בקע טבורי - ניתוח בחתך
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
פין - תיקון ברית
שופכה - הרחבת פתח
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
בקע טבורי - ניתוח בחתך
בקע - הרניה ילדים עד גיל 15
פילונידל - סינוס/פיסטולקטומי
פין - תיקון ברית
שופכה - הרחבת פתח
",True,"כירורגית  ילדים
"
דניאל שינהר,,,True,"כירורגיה   כללית
"
חטיב כמאל,True,"שד - כריתה חלקית דו צדדי
בקע טבורי - לפרוסקופ
בקע חוזר בדופן הבטן/צלקת ניתוח
בקע בדופן הבטן - לפרוסקופ
הוצאת גוש
טחורים + פיסטולה(פילונידל סינוס)
מפשעה - כריתת גוש
קיבה - קיצור בלפרסקופ (טבעת)
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום - סיגמואיד/כ.חלקית
שד - כריתה
שד - כריתה חלקית + בלוטות
קיבה - כריתה חלקית
קיבה - כריתה שלמה
קולוסטומיה - סגירה
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
תוספתן - אפנדציט
בקע טבורי - ניתוח בחתך
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום - סיגמואיד/כ.חלקית
שד - כריתה
קיבה - קיצור בלפרסקופ (טבעת)
קיבה - הוצאת טבעת/שינוי מיקום
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום - סיגמואיד/כ.חלקית
",,
זינגר דב,True,"ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
פרוסטטה סגורה + שלפוחית שתן
פין - תיקון ברית
אשך - השתלת תותב
כליה/שופכן - הוצאת אבנים/אורטרוס
ערמונית - פרוסטטה פתוחה S.P.P
",True,"אורולוגיה
"
מלר אורי,True,"ירוד/קטרקט עם השתלת עדשה רגילה
ירוד/קטרקט עם השתלת עדשה רגילה
ירוד/קטרקט עם השתלת עדשה רגילה
ירוד/קטרקט עם השתלת עדשה רגילה
",True,"עיניים
"
יעקב רמון,,,True,"אורולוגיה
"
גורליק אורי,True,"בקע - הרניה מפשעתי בחתך / חוזר
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
בקע - הרניה מפשעתי בחתך - דו צדדי
אשך - הידרוצל/וריקוצל + בקע מפשעתי
פין - תיקון ברית
שופכה - ניתוח דרך ציסטוסקופ
כליה/שופכן - הוצאת אבנים/אורטרוס
שופכה - חיתוך
ערמונית - פרוסטטה פתוחה S.P.P
ערמונית - פרוסטטה סגורה T.U.R.P
שלפוחית השתן - הסרת גידול TURT
בקע - הרניה מפשעתי בחתך - דו צדדי
אשך - הידרוצל/וריקוצל + בקע מפשעתי
פין - תיקון ברית
שופכה - ניתוח דרך ציסטוסקופ
כליה/שופכן - הוצאת אבנים/אורטרוס
שופכה - חיתוך
שופכה - הרחבת פתח
ציסטוסקופיה בהרדמה לביופסיה
שופכה - הרחבת פתח
ערמונית - פרוסטטה סגורה T.U.R.P
שופכה - הרחבת פתח
ציסטוסקופיה אבחנתית
בקע - הרניה מפשעתי בחתך / חוזר
פין - היפוספדיאס - תיקון קל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
פין - תיקון עקמת
אשך טמיר - דו צדדי
אשך טמיר - חד צדדי
ציסטוסקופיה אבחנתית
פין - היפוספדיאס - תיקון קשה
כליה/שופכן - ריסוק אבנים בלייזר
ציסטוסקופיה בהרדמה לביופסיה
",True,"אורולוגיה
"
יוספה הורוביץבזק,,,True,"עיניים
"
ניטצקי סמי,True,"וריד הספנה - אנדולייזר רגל אחת
וריד הספנה - אנדולייזר 2 רגליים
ורידים RF/ קיטור(SVS) - רגל אחת
",,
רונן יפה,,,True,"קרדיולוגיה
"
פרץ רונן,True,"כפתורים
אף - תיקון מחיצה
גרון לרינגוסקופיה +  - הוצאת גוש
קונכיות האף - ניתוח
שקד שלישי + כפתורים - כריתה
בלוטת הרוק - פרוטיס - כריתה
שקדים + שקד שלישי + כפתורים
אף - תיקון מחיצה + קונכיות
שקדים + שקד שלישי
שקדים + שקד שלישי
קונכיות + שקד שלישי
גרון - החדרת צינור לקנה נשימה
המסטואיד / סטפדקטומי
עצמות השמע - ניתוח
עור התוף - השתלה/תיקון
שקדים + שקד שלישי
קונכיות + שקד שלישי
גרון - החדרת צינור לקנה נשימה
המסטואיד / סטפדקטומי
",,
שי קוורקיאן,,,True,"גניקולוגיה
"
מיכאל ביזר,,,True,"אף אוזן גרון
"
ליביה ורשאואר,,,True,"כירורגיה פלסטית
"
זקס צבי,True,"מפשעה - כריתת גוש
לשון - כריתת הממברנה (הפרדה)
שקדים - כריתה
שקד שלישי - כריתה
כפתורים
אף - תיקון מחיצה
קונכיות האף - ניתוח
",,
עסאף ויקטור,True,"בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
וריד הספנה + ורידים רגל אחת
קיבה - כריתה אורכית בלפ' (שרוול)
קיבה - קיצור באמצעות מעקף בלפ'
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
",,
לכטנשטין לאוניד,True,"רגל/יד - קיבוע ע""י פלטות
",,
נועם קלדרון,,,True,"כירורגיה פלסטית
"
מירון פרוימוביץ,,,True,"גניקולוגיה
גניקולוגיה
"
גרוץ אסנת,True,"נרתיק - פלסטיקה אחורית
גרידת נסיון / הפלה נדחית
וסטיבולקטומי - תיקון
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם + שחלות - כריתה בחתך
לפרוסקופיה ניתוחית
נרתיק - פלסטיקה קדמית ואחורית
לפרוסקופיה אבחנתית
רחם + שחלות + תיקון אי נקיטה - בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
שלפוחית - T.V.T + פלסטיקה - בחתך
",,
מרדכי גוטמן,,,True,"כירורגיה   כללית
"
אניה פייגין,,,True,"כירורגיה   כללית
כירורגיה   כללית
"
באומן דבורה,True,"רחם - כריתה בטנית
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם - כריתה רדיקלית בחתך
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
שלפוחית - אי נקיטה בשיטת T.V.T
רחם היסטרו שרירן/ספטום/אבלציה
רחם היסטרוסקופיה אבחנתית + גרידה
רחם - כריתה נרתיקית בחתך
רחם - כ. נרתיקית בחתך + פלסטיקה
רחם היסטרוסקופיה גרידה + פוליפ
",,
להב עופר,True,"כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
",,
אדוארדו שכטר,,,True,"גניקולוגיה
"
ליאור שגיא,,,True,"עור
"
לומברוזו רפאל,True,"כיס מרה - כריתה בלפרוסקופ
בקע מפשעתי + בקע טבורי בחתך
אשך - הידרוצל/וריקוצל + בקע מפשעתי
טחורים/פילונידל סינוס + פרי אנאל
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
שדיים - כריתה
שד - כריתה חלקית + בלוטות
שד - כריתה חלקית
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
בקע מפשעתי + בקע טבורי בחתך
אשך - הידרוצל/וריקוצל + בקע מפשעתי
טחורים/פילונידל סינוס + פרי אנאל
",,
ווייל יורם אלכסנדר,True,"כף יד/רגל - שחזור/קבוע בורג/שתיל
",,
הס אברהם,True,"מרפק/מפרק - שחרור לחץ על עצבים
אצבע הדק - 2 או 3 אצבעות
כף יד - שחרור תעלה + אצבע הדק
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
יד - דופיטרן פשוט
יד - דופיטרן מורכב
מרפק/מפרק - שחרור לחץ על עצבים
יד - דופיטרן פשוט
יד - דופיטרן מורכב
מרפק/מפרק - שחרור לחץ על עצבים
",True,"כירורגית כף היד
"
לוין ישי,True,"רחם - כריתת גוש בחתך (מיומה)
רחם - כ. נרתיקית + פלסטיקה + TVT
נרתיק - פלסטיקה קדמית
רחם היסטרו שרירן/ספטום/אבלציה
שחלה/ות - לפרוסקופיה ניתוחית
גרידת נסיון / הפלה נדחית
מיומה - כריתה בגישה לפרסקופית
רחם היסטרוסקופיה גרידה + פוליפ
רחם היסטרוסקופיה גרידה + פוליפ
קרום בתולים - ביתוק
רחם - כריתה בטנית
רחם( - + שחלות) - כריתה בלפרוסקופ
רחם + שחלות - כריתה בחתך
לפרוסקופיה ניתוחית
נרתיק - פלסטיקה קדמית ואחורית
שלפוחית - T.V.T + פלסטיקה - בחתך
רחם - כריתת גוש בחתך (מיומה)
רחם - כ. נרתיקית + פלסטיקה + TVT
נרתיק - פלסטיקה קדמית
",True,"גניקולוגיה
"
לבנטר מרק,True,"מוס - ניתוח
הוצאת גוש
מוס - ניתוח
הוצאת גוש
מוס - ניתוח
הוצאת גוש
מוס - ניתוח
הוצאת גוש
מוס - ניתוח
הוצאת גוש
מוס - ניתוח
הוצאת גוש
",True,"כירורגיה פלסטית
כירורגיה פלסטית
כירורגיה פלסטית
כירורגיה פלסטית
"
היים מיכאל,True,"כף יד/רגל/ברך - הסרת גידול שפיר
רגל - תיקון קרע גיד
האלוס ואלגוס + אצבע פטישנית
כף יד - שחרור תעלה קרפלית CTS
כף רגל - האלוס ואלגוס - רגל אחת
יד/רגל - כריתה/קיצור עצם
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
כף יד - גידים:שתילה/העברה/תפרים
כף רגל - האלוס ואלגוס - שתי רגלים
אצבע כף הרגל - ניתוח/כריתה
",,
כצבמן חיים,True,"כף יד/רגל - סינבוקטומיה + שחזור
מפרקים - החלפה חלקית
כף יד - שחרור תעלה קרפלית CTS
יד/רגל - כריתה/קיצור עצם
יד - איחוי עצמות
כף יד - שחרור גידים בשורש
כף יד/רגל - הוצאת גנגיליון
אצבע הדק
כף יד - שחזור שבר בשורש - סגור
כף יד - שחרור עצב אולנרי בשורש
",,
חן דוד,True,"קרוטיס (C.E.A)
",True,"כירורגיה   כללית,כירורגית  כלי דם
"
מינץ ירון,True,"בקע מפשעתי בלאפ' חד צדדי/דו""צ
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
כיס מרה בלאפ' + בקע טבורי בחתך
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
מעי גס ורקטום כריתה מלאה בחתך
מעי גס ורקטום - סיגמואיד/כ.חלקית
בקע מפשעתי + בקע טבורי בחתך
בקע חוזר בדופן הבטן + טבורי
",,
הנדל דוד,True,"מפרק ברך/ירך - השתלה מלאה
",,
מרדכי יעקב,True,"ורדי הזרע - וריקוצלה בחתך צד 1
לשון - כריתת הממברנה (הפרדה)
בקע - הרניה ילדים עד גיל 15
פין - תיקון ברית
שופכה - הרחבת פתח
אשכים - תיקון הידרוצלה
",,
ישראל לשם,,,True,"עיניים
"
אבו חאטום אוסאמה,True,"פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
טחורים/פילונידל סינוס + פרי אנאל
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בקע חוזר בדופן הבטן/צלקת ניתוח
טחורים/פילונידל סינוס + פרי אנאל
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
טחורים + פיסטולה(פילונידל סינוס)
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
טחורים/פילונידל סינוס + פרי אנאל
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בקע חוזר בדופן הבטן/צלקת ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
בקע חוזר בדופן הבטן/צלקת ניתוח
הוצאת גוש
טחורים + פיסטולה(פילונידל סינוס)
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
פילונידל - סינוס/פיסטולקטומי
טחורים + פיסטולה(פילונידל סינוס)
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בחתך
כיס מרה - כריתה בלפרוסקופ
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
טחורים/פילונידל סינוס + פרי אנאל
טחורים - ניתוח
פי הטבעת/פרי אנלי (פיסורה)
בקע טבורי - ניתוח בחתך
בקע חוזר בדופן הבטן/צלקת ניתוח
כיס מרה - כריתה בלפרוסקופ
בקע מפשעתי + בקע טבורי בחתך
שד - כריתה
אשך - הידרוצל/וריקוצל + בקע מפשעתי
החלפת פורט (טבעת לקיצור קיבה)
טחורים/פילונידל סינוס + פרי אנאל
אשכים - תיקון הידרוצלה
ורדי הזרע - וריקוצלה בחתך צד 1
שד - כריתה חלקית + בלוטות
טחורים - ניתוח
",,
דוד מורגנשטרן,,,True,"אורתופדיה
אורתופדיה
"
היערי לילי,True,"בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים עד גיל 15
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
בקע - הרניה ילדים דו""צ עד גיל 15
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
אשך טמיר - חד צדדי
",True,"כירורגיה   כללית,כירורגית  ילדים
כירורגיה   כללית,כירורגית  ילדים
"
פפו יצחק,True,"שד - כריתה חלקית דו צדדי
הוצאת גוש
שד - כריתה
שדיים - כריתה
פילונידל - סינוס/פיסטולקטומי
שד - כריתה
שדיים - כריתה
שד - כריתה חלקית + בלוטות
שד - הוצאת גוש
בלוטות לימפה/בית שחי - כריתה
",True,"כירורגיה   כללית
"
אשרף אלברט,True,"כריתת עצב /גידול מהעצב
כף יד - שחרור תעלה קרפלית CTS
כף יד - שחרור גידים בשורש
ברך ארטרוסקופיה טיפולי/אבחנתי
אצבע הדק
",,
מודי נפתלי,,,True,"עיניים
"
זילברשטין אלדד,True,"מפשעה - כריתת גוש
חיך/שפה שסועה - ניתוח
שדיים - הקטנה
מפשעה - כריתת גוש
חיך/שפה שסועה - ניתוח
שדיים - הקטנה
מפשעה - כריתת גוש
חיך/שפה שסועה - ניתוח
שדיים - הקטנה
",,
אהרון גליק,,,True,"צינתורים,רדיולוגיה פולשנית,השתלת קוצבי לב,קרדיולוגיה
"
פלאח מאזן,True,"ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
הוצאת ברגים/מסמרים
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
הוצאת ברגים/מסמרים
ברך - ארטרוסקופיה באשפוז לילה
ברך ארטרוסקופיה טיפולי/אבחנתי
מפרק ברך/ירך - השתלה מלאה
ברך - שחזור רצועות
הוצאת ברגים/מסמרים
",,
גולדברג מאיר,True,"בקע טבורי - ניתוח בחתך
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
שופכה - הרחבת פתח
אשך טמיר - דו צדדי
בקע - הרניה ילדים עד גיל 15
בקע - הרניה מפשעתי בחתך / חוזר
בקע - הרניה מפשעתי בחתך - דו צדדי
תוספתן - אפנדציט - לפרוסקופ
פילונידל - סינוס/פיסטולקטומי
שופכה - הרחבת פתח
",,
אלמגור ירון,True,"צנתור אבחוני
צנתור טיפולי
",,
שמואל אלדר,,,True,"כירורגיה   כללית
"
נויפלד דוד,True,"בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
טחורים/פילונידל סינוס + פרי אנאל
ליפומה גדולה/עמוקה בהרדמה כללי
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
כיס מרה - כריתה בלפרוסקופ
טחורים/פילונידל סינוס + פרי אנאל
ליפומה גדולה/עמוקה בהרדמה כללי
שד - כריתה חלקית + בלוטות
טחורים - ניתוח
בלוטות לימפה/בית שחי - כריתה
שד - כריתה חלקית
רקטום - ניתוח לתיקון צניחה
טחורים + פיסטולה(פילונידל סינוס)
בקע - הרניה מפשעתי בחתך / חוזר
פילונידל - סינוס/פיסטולקטומי
פי הטבעת/פרי אנלי (פיסורה)
",True,"כירורגיה   כללית,פרוקטולוגיה
"
צבי קאופמן,,,True,"אורולוגיה
"
מילגרום אדוארד צרלס,True,"כתף - ארט' - הדבקות,קרעים,סינבוקטו
רגל/יד - קיבוע ע""י פלטות
",,
עמוס שינדלר,,,True,"אורתופדיה
"
מיכה רינות,,,True,"אורתופדיה,כירורגית כף היד
"
